NAR,Block,Treat,Richness,ANPP,LA5,LR5,SA5,SR5,PAR,np,NP,NR
5,1,1,19,260.41,190.2333333,4.333333333,70.18,14.66666667,26.419,N1P0,1,4
3,1,3,17,309.02,218.9333333,2.666666667,90.09,13.66666667,15.1818,N1P1,2,1
6,1,3,11,318.96,224.06,1.333333333,94.89666667,9.666666667,13.7427,N1P1,2,4
2,1,2,20,161.42,77.87666667,2.666666667,83.54333333,17,47.046,N0P0,0,2
0,1,1,14,173.33,115.38,2.333333333,61.19,11.66666667,25.9229,N0P0,0,0
6,1,1,14,255.66,138.8333333,1.666666667,113.5866667,11.33333333,27.4132,N1P0,1,5
7,1,1,12,266.81,216.6166667,2.666666667,50.19,9.333333333,18.9206,N1P0,1,6
4,1,2,18,357.75,233.69,2.666666667,124.06,15,13.0528,N1P1,2,2
5,1,2,15,314.78,221.6066667,1.666666667,93.17666667,12.66666667,19.9487,N1P0,1,4
5,1,3,16,337.67,258.9933333,3,78.68,13,10.4194,N1P1,2,3
2,1,1,22,185.88,84.19,3,101.69,18.33333333,42.6126,N0P0,0,2
7,1,3,11,311.39,217.07,2.333333333,94.32,8.333333333,13.0683,N1P1,2,5
2,1,3,13,283.45,217.8866667,3,65.56,10,18.3098,N1P1,2,0
4,1,3,15,274.09,163.1933333,2.333333333,112.6333333,12.33333333,22.6727,N1P0,1,3
6,1,2,13,307.36,202.9166667,3,102.7066667,9.333333333,15.0281,N1P1,2,4
0,1,2,17,184.38,102.42,2.333333333,82.13333333,15,43.8677,N0P0,0,0
3,1,2,19,176.47,101.4766667,3.666666667,74.82,14.66666667,41.537,N0P0,0,3
7,1,2,11,319.68,284.3266667,2.333333333,36.41666667,8.333333333,10.499,N1P1,2,5
8,1,3,13,309.03,210.5233333,2.333333333,97.64,10.66666667,10.9431,N1P1,2,6
4,1,1,18,219.8,120.2333333,3.333333333,99.37666667,14.33333333,30.2156,N0P0,0,4
3,1,1,21,168.57,90.59666667,4.333333333,77.97666667,16.33333333,51.3967,N0P0,0,3
7,2,1,20,281.62,124.9366667,3.666666667,156.6866667,16.33333333,19.3713,N1P0,1,6
2,2,2,23,204.25,80.10666667,5.333333333,124.14,17.66666667,35.3323,N0P0,0,2
3,2,1,19,199.66,145.19,3.666666667,54.46666667,15.33333333,48.7142,N0P0,0,3
5,2,3,12,330.78,265.7066667,4,65.07,7.666666667,9.4615,N1P1,2,3
8,2,3,14,295.91,218.4766667,2.666666667,77.43333333,11.33333333,20.2732,N1P1,2,6
0,2,1,17,211.32,134.7833333,3,76.53333333,13.66666667,31.6101,N0P0,0,0
5,2,1,16,295.18,218.61,4,76.56666667,12,12.7488,N1P0,1,4
4,2,3,18,314.92,165.35,2.333333333,149.5733333,15,20.3397,N1P0,1,3
7,2,2,15,420.52,315.3233333,3,96.19666667,12,6.402,N1P1,2,5
5,2,2,13,318.39,289.3366667,3.333333333,29.05333333,9.666666667,12.7589,N1P0,1,4
6,2,1,13,274.19,229.51,2.666666667,44.67666667,10,17.157,N1P0,1,5
4,2,2,13,300.81,253.9566667,1.333333333,46.85333333,11.33333333,14.3737,N1P1,2,2
3,2,2,16,172.22,111.41,2.666666667,60.81,13.33333333,44.7771,N0P0,0,3
7,2,3,11,353.26,317.76,3,35.50333333,8,6.2053,N1P1,2,5
3,2,3,17,380.73,274.92,3,105.81,14,9.9275,N1P1,2,1
6,2,2,11,306.38,222.4866667,1.666666667,83.89666667,9.333333333,11.7667,N1P1,2,4
0,2,2,17,168.1,122.16,3.666666667,45.94333333,13.33333333,41.7569,N0P0,0,0
4,2,1,20,164.69,104.09,4.666666667,60.59666667,15.33333333,38.3058,N0P0,0,4
2,2,1,21,174.24,74.91,3.333333333,99.33,17.33333333,48.9648,N0P0,0,2
2,2,3,14,305.23,218.65,1.666666667,86.58,12.33333333,11.2298,N1P1,2,0
6,2,3,14,316.34,234.1333333,2.333333333,82.21,11.33333333,13.2281,N1P1,2,4
7,3,2,13,342.7,255.6433333,3.333333333,87.05666667,9,8.1653,N1P1,2,5
5,3,2,13,300.26,245.5566667,4.333333333,54.04,8.666666667,15.3623,N1P0,1,4
5,3,3,11,313.92,249.04,2.666666667,64.88333333,7.666666667,7.3019,N1P1,2,3
2,3,1,20,226.98,109.0966667,4.666666667,117.8833333,15.33333333,33.5102,N0P0,0,2
4,3,3,16,275.25,185.43,3.666666667,89.82,11.66666667,30.4825,N1P0,1,3
0,3,1,14,173.99,116.1066667,2.666666667,57.88666667,11,41.1792,N0P0,0,0
7,3,1,9,303.56,226.1733333,1,77.39,7.333333333,10.5469,N1P0,1,6
6,3,2,11,387.67,273.78,2,114.3066667,9.333333333,9.0175,N1P1,2,4
0,3,2,18,170.13,112.2633333,4.333333333,57.45,13.33333333,44.6116,N0P0,0,0
3,3,1,18,181.35,94.19,3.666666667,87.15666667,14,44.6315,N0P0,0,3
8,3,3,16,402.45,250.5866667,3.333333333,152.3866667,13,9.1856,N1P1,2,6
2,3,2,20,171.97,84.04,3.333333333,87.40666667,16,54.164,N0P0,0,2
5,3,1,16,264.79,166.0066667,2.666666667,98.78333333,13,26.6197,N1P0,1,4
3,3,3,13,316.49,239.62,2,76.87333333,10.66666667,15.865,N1P1,2,1
4,3,1,19,180.06,104.0666667,1.666666667,75.99,17,34.8302,N0P0,0,4
3,3,2,15,179.34,117.3933333,4,61.96666667,10.66666667,38.8126,N0P0,0,3
6,3,1,13,332.19,289.92,4.666666667,44.68666667,8.333333333,12.3994,N1P0,1,5
4,3,2,16,406.5,246.18,3,157.9066667,12,11.2346,N1P1,2,2
7,3,3,10,387.52,350.1333333,2.333333333,37.38666667,7.666666667,5.1487,N1P1,2,5
2,3,3,13,381.78,278.2833333,3.666666667,103.5,8.666666667,14.1253,N1P1,2,0
6,3,3,10,353.68,273.88,2.333333333,79.79666667,7.666666667,10.748,N1P1,2,4
0,4,2,22,187.92,90.21333333,4.333333333,97.70666667,17,41.5554,N0P0,0,0
3,4,1,16,202.79,105.8966667,3.333333333,96.89,12,37.5018,N0P0,0,3
6,4,2,12,359.24,306.3933333,4.333333333,52.84666667,7.666666667,4.0951,N1P1,2,4
6,4,3,11,396.79,362.1266667,4.333333333,34.66666667,6.333333333,5.4138,N1P1,2,4
0,4,1,18,202.57,136.9333333,5.333333333,65.64,12,37.2868,N0P0,0,0
3,4,3,18,344.3,223.4633333,3,120.84,14,9.8944,N1P1,2,1
5,4,3,16,318.14,223.9366667,1.666666667,95.74666667,14.66666667,7.8996,N1P1,2,3
4,4,2,15,413.98,329.1166667,2.333333333,83.31333333,11.66666667,4.32,N1P1,2,2
8,4,3,13,403.27,347.8466667,3.666666667,55.42,9,5.8726,N1P1,2,6
6,4,1,10,313.76,277.4533333,2.666666667,36.30666667,7,16.236,N1P0,1,5
5,4,1,12,311.29,287.13,4.333333333,24.16333333,7,13.0232,N1P0,1,4
7,4,2,17,372.91,282.5266667,5.666666667,90.38333333,11,6.7385,N1P1,2,5
4,4,1,22,207.43,84.44333333,3.666666667,122.99,17.66666667,46.3679,N0P0,0,4
3,4,2,21,174.24,104.96,3.666666667,69.27666667,17,53.0761,N0P0,0,3
4,4,3,20,363.05,240.6933333,3.666666667,122.36,16,15.2205,N1P0,1,3
2,4,3,21,390.4,331.91,5.666666667,58.49333333,15,5.0577,N1P1,2,0
7,4,3,18,458.68,327.63,3.333333333,131.05,14.66666667,6.273,N1P1,2,5
5,4,2,19,355.68,164.6566667,3.333333333,191.86,15.66666667,14.9395,N1P0,1,4
2,4,1,24,200.1,89.36666667,5.333333333,109.8966667,18,39.6294,N0P0,0,2
2,4,2,20,196.5,89.02,3.666666667,107.4833333,16.33333333,46.6393,N0P0,0,2
7,4,1,17,314.71,230.3966667,3.666666667,84.31,13.33333333,19.6696,N1P0,1,6
5,5,1,13,310.65,199.44,2,111.2133333,11,15.2558,N1P0,1,4
4,5,2,10,390.8,347.4766667,3.666666667,43.41,6,4.9229,N1P1,2,2
2,5,2,21,182,101.0166667,3.333333333,80.89666667,16.66666667,42.7435,N0P0,0,2
0,5,2,18,192.73,68.36666667,2.333333333,124.3633333,15.66666667,44.6041,N0P0,0,0
0,5,1,19,209.66,108.6466667,3.333333333,101.01,15,31.2091,N0P0,0,0
3,5,3,12,322.16,289.1066667,2.666666667,33.05333333,8.666666667,6.0653,N1P1,2,1
4,5,1,20,178.86,124.42,3.333333333,54.43666667,16,33.1794,N0P0,0,4
7,5,1,16,330.57,251.7,4.333333333,78.87333333,11.33333333,11.2611,N1P0,1,6
7,5,3,9,430.12,379.2,1.333333333,50.92,7.666666667,3.0557,N1P1,2,5
8,5,3,9,371.3,352.3766667,2,18.92,6.333333333,5.277,N1P1,2,6
2,5,3,15,369.27,285.4066667,4.333333333,83.86666667,10.66666667,7.4805,N1P1,2,0
4,5,3,14,308.1,288.44,5.333333333,19.66333333,8,18.931,N1P0,1,3
3,5,1,18,169.11,95.46333333,3,73.64666667,14.66666667,39.3754,N0P0,0,3
6,5,3,13,447.01,420.92,2.666666667,26.08666667,9.666666667,6.7861,N1P1,2,4
2,5,1,19,241.9,131.7533333,3.333333333,110.1466667,15.33333333,35.8931,N0P0,0,2
6,5,1,14,417.07,312.97,3,104.0966667,10.66666667,11.6214,N1P0,1,5
5,5,2,15,367.49,291.1066667,2.666666667,76.38666667,12.33333333,12.718,N1P0,1,4
7,5,2,12,369.34,272.79,2.666666667,96.55,8.666666667,8.1134,N1P1,2,5
5,5,3,17,330.93,257.2166667,3.666666667,73.71,13,9.2146,N1P1,2,3
6,5,2,16,378.43,259.5766667,4.666666667,119.0166667,11.66666667,5.7443,N1P1,2,4
3,5,2,23,228.92,88.65333333,4,140.1033333,18.66666667,39.2766,N0P0,0,3
